,이름,평점,주소,주력 메뉴,가격대,망고플레이트 주소
388,샬롬커피,최신 버전 앱,서울특별시 강동구 양재대로134길 29,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/FsOSadBoxJmh
389,덕구네복돈이,최신 버전 앱,서울특별시 강동구 동남로81길 14,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/h0yd2vGt7aBX
390,안남미가,최신 버전 앱,서울특별시 강동구 양재대로89가길 66,"
베트남 음식
",만원 미만,https://www.mangoplate.com//restaurants/Fwr09o_K7nZi
391,크레이빙커피,최신 버전 앱,서울특별시 강동구 명일로 193 1F,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/2Dd0dQxaMr_M
392,대패상회,최신 버전 앱,서울특별시 강동구 올림픽로62길 22 1F,"
고기 요리
",만원 미만,https://www.mangoplate.com//restaurants/_ESABPm45uAJ
393,봉트랩,최신 버전 앱,서울특별시 강동구 구천면로 458 현대아파트,"
카페 / 디저트
",만원-2만원,https://www.mangoplate.com//restaurants/7vW5bN7FpF
394,길위의 파스타,최신 버전 앱,서울특별시 강동구 강동대로51길 36,"
기타 양식
",만원 미만,https://www.mangoplate.com//restaurants/cir7-u1zPTA0
395,스타벅스,최신 버전 앱,서울특별시 강동구 성내로 32,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/vZodSm4MyTr6
396,주문진,최신 버전 앱,서울특별시 강동구 성안로3길 27,"
해산물 요리
",3만원-4만원,https://www.mangoplate.com//restaurants/wgCo0lpEswv2
397,한신포차,최신 버전 앱,서울특별시 강동구 진황도로 93,"
닭 / 오리 요리
",만원-2만원,https://www.mangoplate.com//restaurants/KXP4u8TBio
398,한왕스1980,최신 버전 앱,서울특별시 강동구 올림픽로 737 1F,"
기타 한식
",,https://www.mangoplate.com//restaurants/SqPjw0zztl
399,채선당,최신 버전 앱,서울특별시 강동구 천호대로 1200,"
탕 / 찌개 / 전골
",만원-2만원,https://www.mangoplate.com//restaurants/OX3K8t6Rrw
400,양다리걸쳤네,"
4.4
",서울특별시 강북구 노해로8길 16 우암센스뷰 101호,"
기타 중식
",만원-2만원,https://www.mangoplate.com//restaurants/vJBsM6Htt3
401,장수마늘보쌈,"
4.3
",서울특별시 강북구 덕릉로 192,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/7ZITxOSv9_
402,삼덕식당,"
4.2
",서울특별시 강북구 월계로7나길 29,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/hKwPoPYVNj0D
403,동네함박,"
4.1
",서울특별시 강북구 도봉로15길 11 2F,"
스테이크 / 바베큐
",만원 미만,https://www.mangoplate.com//restaurants/eJJqOCiiLoky
404,다정도병인양,"
4.1
",서울특별시 강북구 4.19로 41-1,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/0Dc83nt2DQsa
405,김밥은,"
4.1
",서울특별시 강북구 한천로 1016,"
기타 한식
",만원 미만,https://www.mangoplate.com//restaurants/OEHOdq0Ocozx
406,엘림들깨칼국수,"
4.0
",서울특별시 강북구 삼각산로 67,만원 미만,무료주차 가능 ,https://www.mangoplate.com//restaurants/eyS1lrJkfp
407,1996 하산바바,"
4.0
",서울특별시 강북구 덕릉로 193 1F,"
세계음식 기타
",만원-2만원,https://www.mangoplate.com//restaurants/R6ZIlbIidaev
408,플레이버,"
4.0
",서울특별시 강북구 덕릉로41길 100,"
브런치 / 버거 / 샌드위치
",만원 미만,https://www.mangoplate.com//restaurants/FCN7zrRQH_77
409,옛곰탕집,"
4.0
",서울특별시 강북구 도봉로71가길 4,"
탕 / 찌개 / 전골
",만원 미만,https://www.mangoplate.com//restaurants/SvhgGxnzUuEQ
