,0
홍릉각,2.8
즐거운맛돈까스,3.4
팬스테이크키친,3.62
혜성칼국수,3.13
마카나이,3.36
서울뼈구이매운족발,3.33
독,2.63
마루샤브,3.0
커피디셈버,2.5
어머니대성집,3.36
동경통닭,2.8
할머니냉면집,3.4
와가리피순대,3.87
코코니주방,3.0
히노하루,2.25
화덕고,3.67
기석일호,3.73
주수사,3.0
이문동커피집,3.2
물고기,3.6
마루기,3.43
깐띤,2.88
포컵스,1.8
고수찜닭,3.4
OTR,2.67
촨커,3.89
튠업,2.5
카페양귀비,3.33
포레스티,3.58
사골마라탕,3.42
컴플리트커피,3.27
양대창구이전문점 왕십리,3.4
대영식당,4.0
일미간장게장,2.85
로이앤벨라,3.0
스시카야논데,3.7
피자메이트,3.27
19뜯고맛보고,2.67
동해루,3.0
1945짬뽕,2.5
늘봄 해물찜 & 손칼국수,2.33
일광쪽갈비,4.11
성천막국수,3.87
우마스시,3.58
해물알탕전문,3.17
은하곱창,3.47
신락원,2.93
완미,3.67
홍콩중화요리,2.5
남원통닭,3.2
홍도야빈대떡,3.62
특별식당,3.0
발리하이,3.29
카페 대즐링,2.73
미뇽,2.8
일곱평,3.18
칠기마라탕,3.33
형제집,3.6
자연밥상,4.0
돈부리청년,2.9
커피디엔에이로스팅컴퍼니,3.33
식닷컴,3.47
카빙당,3.27
수퍼보울,4.0
치보,3.0
카페림,2.25
시카고커리,2.83
비바라비다,3.0
대가참치,4.0
항방양육관,3.8
장안설렁탕,2.0
빈이네곱창,5.0
미스사이공,3.0
King수제만두,2.93
대흥설농탕,3.43
인우초밥,3.8
엔토츠야,3.0
홍능족발,3.22
광주식당,3.07
스시코야,3.5
파델라,3.26
시키카츠,3.44
알로카시아인더테라스,3.0
산해관,3.8
오관스시,3.53
비하인드미,3.2
스타동,3.6
코지인무르무르,2.86
더테이블,3.44
멍군집,3.8
스시고이,3.6
규범곱창,3.14
회기왕족발보쌈,3.2
양자호떡,3.48
컴투레스트,3.13
카페몰로,3.33
큐큐면관,3.36
언차일드,2.88
솔낭구,2.54
호랭이양식당,3.67
79번지국수집,3.4
여기가좋겠네,3.47
17,3.57
고깃집도훈,3.4
카페 비반트,3.33
Coffee Methodz,4.6
진키친,2.67
치맥파이브,3.13
모두랑,3.25
그릭데이,3.26
하마 쌀국수,3.29
제이비파스타,3.0
장군집,3.8
레알라면,3.53
차칸스시,3.08
언니네함바그,3.27
홍곱창,3.04
알로하올라,4.2
아키엠커피,4.0
돼랑이우랑이,3.07
베이크어데이,3.91
영화장,3.13
본가할머니보쌈,2.6
뽀르뚜아,3.0
이상한떡볶이집,3.67
메이크샐러드,3.54
아임파이,3.33
고소운,3.07
르안타이,3.31
39돈가스,2.9
도란도란야채곱창,3.86
허브영양족발,2.93
채홍,2.82
키친502 (휴업중),3.9
시간을 들이다,3.73
72420,3.8
가마솥손두부,3.0
빈빈양꼬치,3.11
신남도수산,2.0
김씨마구로,3.67
당진수산,2.6
부산자갈치,2.0
해태기아,3.29
전라도회양념,2.0
일성수산,3.64
전라상회,3.43
광주무등산,3.33
형제상회,3.33
청양수산,4.2
다독이네 숯불구이,3.6
몽소베이커리앤카페,2.5
오가네팬케이크,3.13
빕스,3.25
취복루,4.5
오꼬노미스토리,3.4
달콤쌉싸롱,3.93
전티마이베트남쌀국수,3.2
와플스,3.0
브레드숨,3.07
야마레치에티오피아,3.2
등나무집,3.18
폼드팡베이커리,3.14
신사,3.25
라시에스타,3.13
미스피츠,2.8
낙성곱창,2.73
페니힐스커피스테이션,3.36
긴자료코,3.83
현고대닭발,2.69
스시로로,3.4
육촌,3.25
막걸리학교,3.83
마왕족발,3.64
탭하우스어반,3.86
일상다반사,3.29
토리고야,3.8
라화방,3.0
디피스트,3.58
팬쿡,3.0
방배김밥,3.33
오센,3.26
애플하우스,3.2
쿠킨스테이크하우스,2.85
호우양꼬치,3.69
경성모밀,3.12
정애맛담,3.77
홍콩참치만두,3.5
정작가의 막걸리집,3.4
오다가다,3.13
초와밥,3.28
아는포차,3.73
사당 토방소곱창,1.0
전주전집,3.24
미소네,4.33
윤공KoreanBistro,2.2
사당광안리,3.2
방배한가람김밥,3.8
스시류,2.5
머치커피,3.8
새우네집,3.27
블랑제리꾸끄,3.07
연가,4.5
노량진할머니왕파전,2.8
신이내린매운떡볶이,3.4
허수아비,4.0
텐카이치,2.53
마마부찌,3.6
꿀꾸랄라,2.85
곱창의전설,3.32
주전부리,3.58
이든돈카츠,2.8
크래프트비,4.0
이태리로간고등어,3.6
가네끼스시,3.09
서평면옥,3.2
신도세기,3.33
탕화쿵푸,3.33
마이트커피,5.0
청년다방,2.92
파파디파스타,3.17
내가찜한닭,3.11
사당모소리,3.1
케이크팝,3.33
올라아보,3.93
아오키,3.57
세녹,3.08
비비엣,4.0
미학당,2.79
취향,3.4
리얼후라이,3.0
블랑제리가마,3.22
모녀신떡&미쓰밀떡,3.62
차녕식당,3.07
조복남,2.75
시너리,3.5
정원분식,3.7
카페브르브르,2.36
요란한부엌,4.07
사당돈,3.67
농부쌈밥,3.4
낯선한식븟다,3.4
시에나에스프레소,3.8
작은피자집,3.44
월하당,3.71
나루,3.89
아시안보울,3.33
아마르,4.5
브레드제이,2.5
투디카페,4.25
상도실내포장마차,3.56
피터패트,3.25
김철용베이커리,3.0
상도곱창,2.79
가춘,3.58
토모니베이커리,3.2
고추동제면소,3.1
바이슨버거,2.93
카페퍼블리코,3.47
몽소,3.11
즉석바지락손칼국수,3.13
계림원,3.12
케이크무드,2.86
브레드덕,3.8
신짱스시,2.73
우부래도,3.67
프라이밋 스테이크하우스,3.6
마루스시,4.0
은희네온집닭떡볶이,3.0
중대양곱창,3.56
사리원,3.07
파동추야,3.22
아바디,3.0
스톤504,3.4
도쿄야네,3.36
더코네,3.38
미하벨,3.25
고렝,3.44
우뇽파스타,3.0
미묘라멘,3.17
유정쌈밥,3.6
리앤홍,3.09
재팔이네닭발,2.36
흑수돈,2.85
수목식당,3.22
성민양꼬치,3.0
반할,3.57
흑석호치민,4.0
쉐즈양,2.83
에프터유,3.0
스프레드,3.46
오시오떡볶이 (휴업중),2.85
대성관,3.07
라듀레,3.12
클라소피,2.0
서일순대국,2.47
상남스시,3.6
알렉스플레이스,3.6
운봉산장양고기전문점,3.42
닭발집,3.45
렁트멍,2.93
사이공리,2.93
HAV,3.33
바야흐로,2.6
필수,3.56
닥터로빈,3.38
뚜스뚜스,3.62
