,이름,평점,주소,좌표,구
780,고기싸롱,-,서울특별시 도봉구 도봉로 454,"(37.6462224, 127.0336983)",도봉구
781,미스터빽실장종합어시장,-,서울특별시 도봉구 도봉로 458 1F,"(37.6465183, 127.0338576)",도봉구
782,풍천장어직판장,-,서울특별시 도봉구 도봉로 462-1,"(37.64683429999999, 127.034266)",도봉구
783,함스브로트과자점,-,서울특별시 도봉구 도봉로 483,"(37.6488979, 127.0345192)",도봉구
784,카페오픈더도어,-,서울특별시 도봉구 도봉로 489 2F,"(37.6493624, 127.0347965)",도봉구
785,스시화,-,서울특별시 도봉구 도봉로 506,"(37.6503343, 127.0360792)",도봉구
786,제이크더레스토랑,-,서울특별시 도봉구 도봉로 517,"(37.6515289, 127.0360615)",도봉구
787,우설화,-,서울특별시 도봉구 도봉로 526,"(37.6519675, 127.0371335)",도봉구
788,쌍문족빨,-,서울특별시 도봉구 도봉로 585,"(37.6571908, 127.0393509)",도봉구
789,599버거,-,서울특별시 도봉구 도봉로 599 B1,"(37.6582239, 127.0400799)",도봉구
790,씨앗플러스,-,서울특별시 도봉구 도봉로 602-10,"(37.657959, 127.0410773)",도봉구
791,경복궁,-,서울특별시 도봉구 도봉로 610 1F,"(37.6588719, 127.0412061)",도봉구
792,동해수산,-,서울특별시 도봉구 도봉로 663-8,"(37.6637981, 127.0417967)",도봉구
793,고기굽는베베,-,서울특별시 도봉구 도봉로 723,"(37.669057, 127.0431913)",도봉구
794,경성주막1929,-,서울특별시 도봉구 도봉로 730,"(37.6694092, 127.0438522)",도봉구
795,뚱가의정부부대찌개,-,서울특별시 도봉구 도봉로 869,"(37.6819792, 127.0453857)",도봉구
796,미트스타킴,-,서울특별시 도봉구 도봉로103길 10 1F,"(37.6448882, 127.0316465)",도봉구
797,매일이 기념일,-,서울특별시 도봉구 도봉로103길 11,"(37.6447624, 127.0314702)",도봉구
798,꽃돼지,-,서울특별시 도봉구 도봉로104길 104,"(37.6437369, 127.0377236)",도봉구
799,달야,-,서울특별시 도봉구 도봉로106길 23 현대홈씨티 1F,"(37.6452255, 127.0339283)",도봉구
800,옛집갈비,-,서울특별시 도봉구 도봉로109길 24,"(37.6470095, 127.0321118)",도봉구
801,동적불고기,3.9,서울특별시 도봉구 도봉로109길 30 1F,"(37.6470167, 127.0316709)",도봉구
802,영즉석떡볶이,-,서울특별시 도봉구 도봉로109길 35-26,"(37.6458525, 127.0316725)",도봉구
803,트라토리아진,3.9,서울특별시 도봉구 도봉로110길 39-9,"(37.6465584, 127.0355659)",도봉구
804,미랭디저트,-,서울특별시 도봉구 도봉로110길 40 1F,"(37.6459982, 127.03581)",도봉구
805,스시혼,2.9,서울특별시 도봉구 도봉로110길 8,"(37.6461901, 127.0339423)",도봉구
806,맥반석조개구이,-,서울특별시 도봉구 도봉로110나길 11,"(37.6466865, 127.034481)",도봉구
807,블루밍,-,서울특별시 도봉구 도봉로110다길 38 204동 102호,"(37.6445774, 127.0330805)",도봉구
808,뮤즈서울,3.6,서울특별시 도봉구 도봉로110다길 51 111호,"(37.64286269999999, 127.0333996)",도봉구
809,쌍문동홈떡,-,서울특별시 도봉구 도봉로110바길 32,"(37.6477263, 127.0373515)",도봉구
810,지니피자,-,서울특별시 도봉구 도봉로110아길 12 1F,"(37.6456284, 127.0374193)",도봉구
811,스마일닭강정,4.3,서울특별시 도봉구 도봉로110아길 7 1F,"(37.6458243, 127.0375845)",도봉구
812,미미,3.6,서울특별시 도봉구 도봉로112길 20,"(37.6466967, 127.0357239)",도봉구
813,이코이,4.3,서울특별시 도봉구 도봉로112길 20,"(37.6466967, 127.0357239)",도봉구
814,하나노마카롱,-,서울특별시 도봉구 도봉로112길 22 1F,"(37.6467373, 127.0358469)",도봉구
815,무궁화로스터즈,-,서울특별시 도봉구 도봉로112길 23 1F,"(37.6468937, 127.0360262)",도봉구
816,구월십일,-,서울특별시 도봉구 도봉로112길 26 1F,"(37.6467585, 127.0361288)",도봉구
817,그리너리티,-,서울특별시 도봉구 도봉로112길 27 1F,"(37.6468984, 127.0361542)",도봉구
818,겨리,4.0,서울특별시 도봉구 도봉로112길 29 1F,"(37.6469159, 127.0363137)",도봉구
819,베트남식당,-,서울특별시 도봉구 도봉로112길 35 1F,"(37.64694300000001, 127.0366567)",도봉구
820,카페고르,3.4,서울특별시 도봉구 도봉로112길 38 1F,"(37.6468052, 127.0367741)",도봉구
821,리틀방콕,3.3,서울특별시 도봉구 도봉로114길 22,"(37.6473276, 127.0356466)",도봉구
822,화승꽈배기,3.4,서울특별시 도봉구 도봉로114길 22-5,"(37.647189, 127.0356666)",도봉구
823,노말키친,3.7,서울특별시 도봉구 도봉로114길 29,"(37.6475154, 127.0359037)",도봉구
824,하이쿠,4.3,서울특별시 도봉구 도봉로114길 40 1F,"(37.6474156, 127.0364909)",도봉구
825,김화자카페,3.9,서울특별시 도봉구 도봉로114길 50,"(37.6474757, 127.0371179)",도봉구
826,마이요거트서울,                              4.7                            ,서울특별시 도봉구 도봉로114길 60-5,"(37.647316, 127.0378644)",도봉구
827,가배미혼,3.7,서울특별시 도봉구 도봉로115길 4,"(37.6485823, 127.0341561)",도봉구
828,패멩베이커리,4.2,서울특별시 도봉구 도봉로116길 4,"(37.6479597, 127.0355954)",도봉구
829,방카,-,서울특별시 도봉구 도봉로116길 43,"(37.6483368, 127.0378592)",도봉구
830,쌍문동커피,4.1,서울특별시 도봉구 도봉로116길 5,"(37.64817499999999, 127.035698)",도봉구
831,면장우동,4.1,서울특별시 도봉구 도봉로118길 10,"(37.6489235, 127.03566)",도봉구
832,카페작약,3.8,서울특별시 도봉구 도봉로118길 10 2F,"(37.6489235, 127.03566)",도봉구
833,글림,-,서울특별시 도봉구 도봉로118길 6-8 1F,"(37.6487386, 127.0353088)",도봉구
834,호호분식,-,서울특별시 도봉구 도봉로121길 32,"(37.652406, 127.0347888)",도봉구
835,포차더쎈,-,서울특별시 도봉구 도봉로129길 23,"(37.6552803, 127.0369888)",도봉구
836,숲레스토랑,-,서울특별시 도봉구 도봉로134길 28 1F,"(37.6571718, 127.0417821)",도봉구
837,몽상가 크레이프 전문점,-,서울특별시 도봉구 도봉로143길 30,"(37.6618364, 127.0404471)",도봉구
838,방학동이야기,-,서울특별시 도봉구 도봉로146길 40,"(37.6640831, 127.0451695)",도봉구
839,햇살힐링식당,-,서울특별시 도봉구 도봉로147길 17 1F,"(37.6650205, 127.0416506)",도봉구
840,와스예떡볶이,-,서울특별시 도봉구 도봉로147길 19 ,"(37.6650182, 127.0414852)",도봉구
841,에꼴드마카롱,-,서울특별시 도봉구 도봉로147길 60 1F,"(37.6651882, 127.0393351)",도봉구
842,뻬지아슈,-,서울특별시 도봉구 도봉로150길 43 131호,"(37.6663859, 127.0455878)",도봉구
843,알레싸,-,서울특별시 도봉구 도봉로150다길 28 지음재힐스상가 2F 203호,"(37.6677642, 127.044555)",도봉구
844,피자리아150길,3.7,서울특별시 도봉구 도봉로150다길 64,"(37.668892, 127.0445128)",도봉구
845,와겐,-,서울특별시 도봉구 도봉로150마길 15,"(37.6676879, 127.0449171)",도봉구
846,호감,-,서울특별시 도봉구 도봉로152길 27 1F,"(37.6694659, 127.0452933)",도봉구
847,광릉불고기,-,서울특별시 도봉구 도봉로152길 29-4,"(37.6695569, 127.0456231)",도봉구
848,카페 152길,-,서울특별시 도봉구 도봉로152길 29-4,"(37.6695569, 127.0456231)",도봉구
849,카츠다담,-,서울특별시 도봉구 도봉로152길 31,"(37.6694433, 127.0456087)",도봉구
850,우리할매떡볶이,-,서울특별시 도봉구 도봉로152길 32 1F 102호,"(37.6692879, 127.0455608)",도봉구
851,뉴욕베이커리,-,서울특별시 도봉구 도봉로153길 39,"(37.6698149, 127.0413226)",도봉구
852,곳간,                              4.5                            ,서울특별시 도봉구 도봉로154길 35 1F,"(37.6712885, 127.0460407)",도봉구
853,수정각,4.2,서울특별시 도봉구 도봉로157길 7,"(37.6734121, 127.0435877)",도봉구
854,묵은지사랑,                              4.7                            ,서울특별시 도봉구 도봉로164길 38,"(37.6753, 127.046733)",도봉구
855,무수옥,3.8,서울특별시 도봉구 도봉로165길 15,"(37.67708349999999, 127.0442151)",도봉구
856,삼오집,-,서울특별시 도봉구 도봉로165길 4,"(37.6776597, 127.0446067)",도봉구
857,소달구지,-,서울특별시 도봉구 도봉로168길 19,"(37.6784439, 127.0456396)",도봉구
858,메이다이닝,3.6,서울특별시 도봉구 도봉로169길 208,"(37.6778835, 127.0290654)",도봉구
859,이퓨레,-,서울특별시 도봉구 도봉로169나길 40,"(37.6779007, 127.0435437)",도봉구
860,써이포차나,-,서울특별시 도봉구 도봉로169나길 42,"(37.6778024, 127.0435381)",도봉구
861,홍방원,4.1,서울특별시 도봉구 도봉로169나길 47,"(37.6774959, 127.0438448)",도봉구
862,어랑,-,서울특별시 도봉구 도봉로170길 2,"(37.6803234, 127.045755)",도봉구
863,산과산사이커피로드,-,서울특별시 도봉구 도봉로180가길 96 승리빌딩 4F,"(37.6639406, 127.0368221)",도봉구
864,영수네감자국,-,서울특별시 도봉구 도봉로181길 86,"(37.6855485, 127.0417573)",도봉구
865,도봉산양고기,-,서울특별시 도봉구 도봉로191길 63,"(37.6906677, 127.0418173)",도봉구
866,이자카야빡,-,서울특별시 도봉구 도봉산1길 66 1F,"(37.6843961, 127.0452074)",도봉구
867,옹기꽃게장,-,서울특별시 도봉구 도봉산4가길 14-9,"(37.6884591, 127.0412471)",도봉구
868,도봉산커피,-,서울특별시 도봉구 도봉산4가길 4,"(37.6881903, 127.0416117)",도봉구
869,콩사랑두부,-,서울특별시 도봉구 도봉산4길 10,"(37.6877831, 127.0424383)",도봉구
870,전라도옛맛손팥칼국수,-,서울특별시 도봉구 도봉산4나길 11-5,"(37.6884958, 127.0430981)",도봉구
871,인디언소울,-,서울특별시 도봉구 도봉산길 12-15,"(37.6881288, 127.0439464)",도봉구
872,88팬케익스,-,서울특별시 도봉구 마들로 650 도봉월드상가 2F 223호,"(37.6679862, 127.0470453)",도봉구
873,파린두스,-,서울특별시 도봉구 마들로 657,"(37.66856200000001, 127.0454839)",도봉구
874,버거브라더,4.1,서울특별시 도봉구 마들로 657 1F,"(37.66856200000001, 127.0454839)",도봉구
875,메이콴,-,서울특별시 도봉구 마들로 664-11 현대리치타운 1F 102호,"(37.6694183, 127.0470916)",도봉구
876,수수,-,서울특별시 도봉구 마들로 693,"(37.6719377, 127.0463203)",도봉구
877,정초밥,-,서울특별시 도봉구 마들로 724 상가동 103호,"(37.67449939999999, 127.0476796)",도봉구
878,주인장이볶은커피,-,서울특별시 도봉구 마들로 772,"(37.6787382, 127.0497306)",도봉구
879,텐더크래커,-,서울특별시 도봉구 마들로11가길 6-25 1F 104호,"(37.6527305, 127.0491717)",도봉구
880,백번가코다리,-,서울특별시 도봉구 마들로11가길 6-25 창동월가타워 1F,"(37.6527305, 127.0491717)",도봉구
881,코지더힐,-,서울특별시 도봉구 마들로11길 74 2F,"(37.644567, 127.0377571)",도봉구
882,가마봉생고기,-,서울특별시 도봉구 마들로18길 35,"(37.6616739, 127.0486391)",도봉구
883,옥류짬뽕,-,서울특별시 도봉구 방학로 107,"(37.6625971, 127.0402514)",도봉구
884,비스트로슬로우,-,서울특별시 도봉구 방학로 169,"(37.6621194, 127.0333937)",도봉구
885,카페더로비,-,서울특별시 도봉구 방학로 171-5 1F,"(37.6619876, 127.0332537)",도봉구
886,수정궁,4.0,서울특별시 도봉구 방학로 173,"(37.6620613, 127.0329025)",도봉구
887,윤짬뽕,3.7,서울특별시 도봉구 방학로 183,"(37.6619155, 127.032153)",도봉구
888,카페306,-,서울특별시 도봉구 방학로 306,"(37.6628857, 127.0183875)",도봉구
889,봉평메밀촌,-,서울특별시 도봉구 방학로 31-16 신일빌딩,"(37.6485536, 127.0349616)",도봉구
890,사거리짬뽕집,-,서울특별시 도봉구 방학로 99-16,"(37.6620529, 127.0415924)",도봉구
891,복진해물잔치마당,-,서울특별시 도봉구 방학로11길 101 2F,"(37.6583421, 127.0343606)",도봉구
892,사이코우스시,3.3,서울특별시 도봉구 방학로7길 99,"(37.6581316, 127.0363807)",도봉구
893,황금성,-,서울특별시 도봉구 삼양로 544 2F,"(37.6517093, 127.0129874)",도봉구
894,엘수에뇨,-,서울특별시 도봉구 삼양로142길 3,"(37.6505322, 127.0135843)",도봉구
895,도레미분식즉석떡볶이,-,서울특별시 도봉구 삼양로144길 18,"(37.6513247, 127.0138628)",도봉구
896,산책,-,서울특별시 도봉구 삼양로144길 18,"(37.6513247, 127.0138628)",도봉구
897,Comfort Cafe,-,서울특별시 도봉구 삼양로144길 19,"(37.6516881, 127.0138965)",도봉구
898,고씨네,-,서울특별시 도봉구 삼양로144길 25-11,"(37.6521959, 127.0142853)",도봉구
899,모람,-,서울특별시 도봉구 삼양로144길 25-11,"(37.6521959, 127.0142853)",도봉구
900,누들아한타이,-,서울특별시 도봉구 삼양로144길 3-8,"(37.6517699, 127.0133379)",도봉구
901,조이키친,-,서울특별시 도봉구 삼양로144길 3-8,"(37.6517699, 127.0133379)",도봉구
902,카페레,-,서울특별시 도봉구 삼양로144길 9,"(37.6515882, 127.0133652)",도봉구
903,Wake Up Good Night,-,서울특별시 도봉구 삼양로146길 10,"(37.6522698, 127.0132111)",도봉구
904,도꼬정,-,서울특별시 도봉구 삼양로154길 11,"(37.6555721, 127.0138599)",도봉구
905,너구리해장국,-,서울특별시 도봉구 시루봉로 149 도봉그린빌라,"(37.6761337, 127.0426823)",도봉구
906,언니네키친,-,서울특별시 도봉구 시루봉로 206 1F,"(37.6670833, 127.033412)",도봉구
907,황금코다리,-,서울특별시 도봉구 시루봉로 68,"(37.656787, 127.028228)",도봉구
908,강남떡볶이,-,서울특별시 도봉구 시루봉로 71,"(37.6575265, 127.0260117)",도봉구
909,푸곱야채곱창,-,서울특별시 도봉구 시루봉로17길 4,"(37.6682884, 127.0343508)",도봉구
910,누드곱창,-,서울특별시 도봉구 시루봉로6길 93,"(37.6593819, 127.0326097)",도봉구
911,도본,3.9,서울특별시 도봉구 우이천로 288-3 1F,"(37.64386289999999, 127.0302286)",도봉구
912,더블도어,3.8,서울특별시 도봉구 우이천로 354,"(37.6477943, 127.0250011)",도봉구
913,세평반부엌,-,서울특별시 도봉구 우이천로 356,"(37.6478769, 127.0248538)",도봉구
914,하이투피플,-,서울특별시 도봉구 우이천로 483,"(37.6561844, 127.0154316)",도봉구
915,멘야코노하카레,4.2,서울특별시 도봉구 우이천로20길 7 103동 1F,"(37.6410108, 127.0336501)",도봉구
916,멘부리,-,서울특별시 도봉구 우이천로24길 40 1F,"(37.6451706, 127.0315702)",도봉구
917,쌍문동판다쓰,4.2,서울특별시 도봉구 우이천로24길 49 다온쉐르빌,"(37.6498865, 127.0235183)",도봉구
918,행복김밥,-,서울특별시 도봉구 해등로 128,"(37.6549315, 127.0408487)",도봉구
919,미소돈까스,-,서울특별시 도봉구 해등로 158,"(37.6570123, 127.0388964)",도봉구
920,일월생,-,서울특별시 도봉구 해등로 180,"(37.6577361, 127.036838)",도봉구
921,카페비,-,서울특별시 도봉구 해등로 67,"(37.6493065, 127.0417384)",도봉구
922,카페오븐,                              4.5                            ,서울특별시 도봉구 해등로16길 12 현대아파트,"(37.6558306, 127.0408775)",도봉구
923,명인소곱창,-,서울특별시 도봉구 해등로16길 42,"(37.6551624, 127.0422148)",도봉구
924,밀스,-,서울특별시 도봉구 해등로16길 46,"(37.6551369, 127.0424033)",도봉구
925,창동두리네곱창,3.6,서울특별시 도봉구 해등로16길 46,"(37.6551369, 127.0424033)",도봉구
926,엉클두,-,서울특별시 도봉구 해등로16길 54,"(37.6549888, 127.0428086)",도봉구
927,꿀소담,3.7,서울특별시 도봉구 해등로16길 67,"(37.6550638, 127.0437166)",도봉구
928,포유,-,서울특별시 도봉구 해등로16길 7,"(37.6563467, 127.0408113)",도봉구
929,고메즈,-,서울특별시 도봉구 해등로17길 44,"(37.6550907, 127.0374989)",도봉구
930,골목식당,-,서울특별시 동대문구 경동시장로2길 49-1,"(37.5805697, 127.0436807)",동대문구
931,크로네,3.4,서울특별시 동대문구 경희대로 17,"(37.5931286, 127.0524226)",동대문구
932,포보,3.8,서울특별시 동대문구 경희대로 19,"(37.5933774, 127.0524342)",동대문구
933,스시해나루,3.3,서울특별시 동대문구 경희대로 3-1,"(37.5919549, 127.0521295)",동대문구
934,카페반창고,3.7,서울특별시 동대문구 경희대로1가길 18 B1,"(37.5925313, 127.0516477)",동대문구
935,미연마라탕,3.7,서울특별시 동대문구 경희대로1가길 4,"(37.5918966, 127.0514882)",동대문구
936,백수씨심야식당,3.9,서울특별시 동대문구 경희대로1길 8-15,"(37.5923576, 127.0517858)",동대문구
937,고황24시 뼈다귀해장국감자탕,3.5,서울특별시 동대문구 경희대로1길 8-16,"(37.592301, 127.0520356)",동대문구
938,Mods Place,4.0,서울특별시 동대문구 경희대로3길 11,"(37.5925879, 127.0518508)",동대문구
939,유성관,-,서울특별시 동대문구 경희대로3길 30,"(37.593022, 127.0508205)",동대문구
940,8 Street,3.4,서울특별시 동대문구 경희대로3길 8,"(37.5927753, 127.0519685)",동대문구
941,고기야미안해,3.4,서울특별시 동대문구 경희대로4길 20,"(37.5921956, 127.0536087)",동대문구
942,배트콩,3.7,서울특별시 동대문구 경희대로4길 50,"(37.5915609, 127.0550163)",동대문구
943,스시선생,4.0,서울특별시 동대문구 경희대로4길 54,"(37.5914518, 127.0552351)",동대문구
944,와요,3.9,서울특별시 동대문구 경희대로4길 7,"(37.5925167, 127.0530826)",동대문구
945,팔레트,4.1,서울특별시 동대문구 경희대로4길 72 2F,"(37.5911931, 127.0562371)",동대문구
946,부산밀면냉면,3.5,서울특별시 동대문구 경희대로4길 73 1F,"(37.5913654, 127.0562677)",동대문구
947,루데카,-,서울특별시 동대문구 경희대로4길 79 학산빌딩 1F,"(37.5913943, 127.0564889)",동대문구
948,에잇올리,3.9,서울특별시 동대문구 경희대로6길 3-2 1F,"(37.5934211, 127.0530564)",동대문구
949,푸른하늘,3.9,서울특별시 동대문구 경희대로6길 3-4 1F,"(37.5935067, 127.0530599)",동대문구
950,키친요로시쿠,3.8,서울특별시 동대문구 경희대로6길 4,"(37.5932835, 127.0529755)",동대문구
951,아라기,-,서울특별시 동대문구 고미술로 71,"(37.5666949, 127.0539611)",동대문구
952,연어이야기,4.4,서울특별시 동대문구 고산자로 528-1,"(37.5869471, 127.0383431)",동대문구
953,방앗간,-,서울특별시 동대문구 고산자로28길 73,"(37.574336, 127.0423136)",동대문구
954,춘천메밀막국수,-,서울특별시 동대문구 고산자로38길 25,"(37.5801269, 127.0398608)",동대문구
955,안동집손칼국시,                              4.7                            ,서울특별시 동대문구 고산자로6길 3 경동시장 B1,"(37.5797534, 127.0390013)",동대문구
956,열정쭈꾸미,-,서울특별시 동대문구 답십리로 241,"(37.5728489, 127.0671258)",동대문구
957,장안정,3.7,서울특별시 동대문구 답십리로 314,"(37.571729, 127.075158)",동대문구
958,커피나인,3.9,서울특별시 동대문구 답십리로 68 1F,"(37.57533129999999, 127.0483904)",동대문구
959,원더월커피로스터스,-,서울특별시 동대문구 답십리로 80 1F,"(37.574695, 127.0494943)",동대문구
960,맨손의스시 ,3.4,서울특별시 동대문구 답십리로30길 55,"(37.5728925, 127.0474218)",동대문구
961,커피그라운즈,4.2,서울특별시 동대문구 답십리로48길 57,"(37.5701251, 127.0578274)",동대문구
962,프리카페,-,서울특별시 동대문구 답십리로48길 76 1F,"(37.5693362, 127.0575442)",동대문구
963,답십리별미,4.1,서울특별시 동대문구 답십리로48길 98,"(37.5683251, 127.0575286)",동대문구
964,골목길빵공작소,4.3,서울특별시 동대문구 답십리로60길 112 1F,"(37.5683513, 127.0622917)",동대문구
965,술사와,-,서울특별시 동대문구 답십리로63길 66,"(37.5754991, 127.0690965)",동대문구
966,디어테이블,3.3,서울특별시 동대문구 답십리로72길 68,"(37.5692513, 127.072877)",동대문구
967,백정스테이크바,4.1,서울특별시 동대문구 망우로 122-10,"(37.5908179, 127.0665086)",동대문구
968,망우로30,3.9,서울특별시 동대문구 망우로 30-1,"(37.5881592, 127.0566705)",동대문구
969,베러댄,-,서울특별시 동대문구 망우로 34,"(37.58832719999999, 127.0570613)",동대문구
970,빵쌤,3.4,서울특별시 동대문구 망우로12길 1,"(37.5877424, 127.0578187)",동대문구
971,놀부만두,3.9,서울특별시 동대문구 망우로16길 15,"(37.5893156, 127.0614671)",동대문구
972,꽃갈피,-,서울특별시 동대문구 망우로18가길 36,"(37.5886541, 127.060779)",동대문구
973,이모네파전,3.5,서울특별시 동대문구 망우로1길 37,"(37.5890607, 127.0560545)",동대문구
974,경발원,4.0,서울특별시 동대문구 망우로21길 34,"(37.5904039, 127.0612202)",동대문구
975,봉이만두,3.8,서울특별시 동대문구 망우로21길 36 1F,"(37.5903932, 127.0611286)",동대문구
976,와레와레쿡,-,서울특별시 동대문구 망우로21길 52 춘태빌딩 A동 101호,"(37.5903648, 127.0600464)",동대문구
977,빈칸,-,서울특별시 동대문구 망우로21길 63,"(37.5899521, 127.059473)",동대문구
978,나정순할매쭈꾸미,4.4,서울특별시 동대문구 무학로 144,"(37.5770555, 127.0307346)",동대문구
979,용두동쭈꾸미,-,서울특별시 동대문구 무학로36길 10,"(37.5771716, 127.0310501)",동대문구
980,장안면옥,3.9,서울특별시 동대문구 사가정로 258,"(37.5790017, 127.0735928)",동대문구
981,정편백,4.0,서울특별시 동대문구 서울시립대로12길 3,"(37.5787935, 127.050237)",동대문구
982,닛시스시,-,서울특별시 동대문구 신이문로 35,"(37.6030941, 127.0659872)",동대문구
983,고래돈가스,4.0,서울특별시 동대문구 안암로 154,"(37.5883631, 127.0350877)",동대문구
984,카페파인,3.9,서울특별시 동대문구 안암로22길 15 1F,"(37.5879995, 127.0356812)",동대문구
985,비나,4.3,서울특별시 동대문구 안암로24길 4,"(37.588379, 127.0352698)",동대문구
986,감초식당,4.1,서울특별시 동대문구 약령서길 28 1F,"(37.5795271, 127.0362433)",동대문구
987,키라쿠,3.7,서울특별시 동대문구 약령시로 5-1 1F,"(37.5827554, 127.0302882)",동대문구
988,히든트랙,3.8,서울특별시 동대문구 약령시로 6 수운빌딩,"(37.5825056, 127.0304839)",동대문구
989,홍릉각,4.3,서울특별시 동대문구 약령시로 90,"(37.5827629, 127.0401349)",동대문구
990,즐거운맛돈까스,4.3,서울특별시 동대문구 왕산로 15-1 2F,"(37.5764932, 127.0252568)",동대문구
991,팬스테이크키친,-,서울특별시 동대문구 왕산로 200 롯데백화점 청량리점 7F,"(37.580676, 127.0476654)",동대문구
992,혜성칼국수,3.7,서울특별시 동대문구 왕산로 247-1,"(37.5833859, 127.0489751)",동대문구
993,마카나이,3.3,서울특별시 동대문구 왕산로 272,"(37.5847262, 127.0510482)",동대문구
994,서울뼈구이매운족발,3.9,서울특별시 동대문구 왕산로 274-1 1F,"(37.5849946, 127.0512655)",동대문구
995,독,3.4,서울특별시 동대문구 왕산로 278-1,"(37.5852639, 127.0514682)",동대문구
996,마루샤브,-,서울특별시 동대문구 왕산로 61 한일빌딩 1F,"(37.577957, 127.0300289)",동대문구
997,커피디셈버,-,서울특별시 동대문구 왕산로 72 한양아이클래스 102호,"(37.5777276, 127.0315002)",동대문구
998,어머니대성집,4.5,서울특별시 동대문구 왕산로11길 4,"(37.5774367, 127.0285492)",동대문구
999,동경통닭,3.8,서울특별시 동대문구 왕산로35길 24 청량리전통시장,"(37.5813397, 127.0444626)",동대문구
1000,할머니냉면집,3.7,서울특별시 동대문구 왕산로37길 51,"(37.5822259, 127.043698)",동대문구
1001,와가리피순대,4.1,서울특별시 동대문구 왕산로9길 22,"(37.57808989999999, 127.0278863)",동대문구
1002,코코니주방,3.9,서울특별시 동대문구 이문로 112 2F,"(37.5964905, 127.0605616)",동대문구
1003,히노하루,3.7,서울특별시 동대문구 이문로 45,"(37.5914889, 127.0567168)",동대문구
1004,화덕고,-,서울특별시 동대문구 이문로 88-13,"(37.5949113, 127.0598035)",동대문구
1005,기석일호,3.4,서울특별시 동대문구 이문로17길 39,"(37.5945624, 127.0566124)",동대문구
1006,주수사,3.4,서울특별시 동대문구 이문로17길 4,"(37.5945993, 127.0587589)",동대문구
1007,이문동커피집,4.2,서울특별시 동대문구 이문로25길 34,"(37.59558, 127.057673)",동대문구
1008,물고기,3.9,서울특별시 동대문구 이문로25길 36,"(37.5954892, 127.0577013)",동대문구
1009,마루기,3.6,서울특별시 동대문구 이문로28길 16,"(37.5954483, 127.0604864)",동대문구
1010,깐띤,3.7,서울특별시 동대문구 이문로28길 9 2F,"(37.5957488, 127.0604226)",동대문구
1011,포컵스,-,서울특별시 동대문구 이문로30길 10,"(37.596858, 127.0611051)",동대문구
1012,고수찜닭,3.7,서울특별시 동대문구 이문로30길 31-4,"(37.5963445, 127.0620266)",동대문구
1013,OTR,-,서울특별시 동대문구 이문로9가길 35,"(37.5981988, 127.0560263)",동대문구
1014,촨커,4.4,서울특별시 동대문구 이문로9길 105,"(37.5967545, 127.0565994)",동대문구
1015,튠업,-,서울특별시 동대문구 이문로9길 46,"(37.5942077, 127.0565432)",동대문구
1016,카페양귀비,3.7,서울특별시 동대문구 이문로9길 8,"(37.592929, 127.0574268)",동대문구
1017,포레스티,4.2,서울특별시 동대문구 이문로9나길 32,"(37.5981959, 127.0558893)",동대문구
1018,사골마라탕,4.1,서울특별시 동대문구 이문로9나길 6-13,"(37.5982221, 127.0563566)",동대문구
1019,컴플리트커피,4.1,서울특별시 동대문구 이문로9나길 6-14,"(37.5982355, 127.0565694)",동대문구
1020,양대창구이전문점 왕십리,-,서울특별시 동대문구 장한로 58 태화빌딩 1F 101호,"(37.5660714, 127.0680604)",동대문구
1021,대영식당,-,서울특별시 동대문구 장한로21길 9,"(37.5699498, 127.0694644)",동대문구
1022,일미간장게장,3.3,서울특별시 동대문구 장한로24길 7,"(37.5708388, 127.0714876)",동대문구
1023,로이앤벨라,-,서울특별시 동대문구 장한로26길 42,"(37.5713557, 127.0738539)",동대문구
1024,스시카야논데,4.3,서울특별시 동대문구 장한로27길 46 1F,"(37.5732597, 127.0690621)",동대문구
1025,피자메이트,                              4.7                            ,서울특별시 동대문구 장한로28길 44 1F,"(37.5726721, 127.0743176)",동대문구
1026,19뜯고맛보고,3.8,서울특별시 동대문구 전농로 221,"(37.583802, 127.0531035)",동대문구
1027,동해루,-,서울특별시 동대문구 전농로 235,"(37.5848912, 127.0522994)",동대문구
1028,1945짬뽕,-,서울특별시 동대문구 전농로 38 1F,"(37.5682348, 127.057275)",동대문구
1029,늘봄 해물찜 & 손칼국수,3.4,서울특별시 동대문구 전농로 39,"(37.5684624, 127.0567843)",동대문구
1030,일광쪽갈비,                              4.4                            ,서울특별시 동대문구 전농로 48,"(37.56902609999999, 127.0573024)",동대문구
1031,성천막국수,3.9,서울특별시 동대문구 전농로 48,"(37.56902609999999, 127.0573024)",동대문구
1032,우마스시,-,서울특별시 동대문구 전농로 96-1,"(37.5735294, 127.0577449)",동대문구
1033,해물알탕전문,-,서울특별시 동대문구 전농로14길 12,"(37.5762764, 127.0580454)",동대문구
1034,은하곱창,3.9,서울특별시 동대문구 전농로15길 22,"(37.57799139999999, 127.0562735)",동대문구
1035,신락원,4.0,서울특별시 동대문구 전농로20길 2,"(37.5788615, 127.0571445)",동대문구
1036,완미,-,서울특별시 동대문구 전농로2나길 5,"(37.5669281, 127.0572587)",동대문구
1037,홍콩중화요리,4.3,서울특별시 동대문구 정릉천동로 107,"(37.5817447, 127.0354912)",동대문구
1038,남원통닭,4.3,서울특별시 동대문구 제기동 635-1,"(37.5804222, 127.0424972)",동대문구
