이름,평점,주소,좌표,구,위도,경도,Cluster
진영면옥,4.2,서울특별시 금천구 가산로 22-5,"(37.4715363, 126.9003892)",금천구,37.4715363,126.90038919999999,[17]
세라즈피자펍,4.1,서울특별시 금천구 가산디지털1로 168 A동 2F 222호,"(37.4798346, 126.8824997)",금천구,37.479834600000004,126.8824997,[17]
카페스미다,3.9,서울특별시 금천구 벚꽃로 298 대륭포스트타워6차 B143호,"(37.4813244, 126.8837789)",금천구,37.4813244,126.88377890000001,[17]
팔람까오,3.8,서울특별시 금천구 서부샛길 606,"(37.4793464, 126.8768097)",금천구,37.4793464,126.87680970000001,[17]
인크커피,3.7,서울특별시 금천구 가산디지털2로 127-20,"(37.4792935, 126.8779751)",금천구,37.4792935,126.87797509999999,[17]
호세가,3.7,서울특별시 금천구 남부순환로108길 19 1F,"(37.4779215, 126.8923339)",금천구,37.4779215,126.89233390000001,[17]
춘천옥,3.5,서울특별시 금천구 디지털로12길 19 2F,"(37.4778506, 126.8896758)",금천구,37.4778506,126.88967579999999,[17]
동흥관,3,서울특별시 금천구 시흥대로63길 20,"(37.4551454, 126.8985586)",금천구,37.4551454,126.89855859999999,[24]
스시히또,-,서울특별시 금천구 벚꽃로 286 B1 114호,"(37.4803075, 126.8841943)",금천구,37.4803075,126.88419429999999,[17]
왕게수산,-,서울특별시 금천구 시흥대로 182 2호,"(37.4501637, 126.9027365)",금천구,37.450163700000004,126.9027365,[24]
단또,-,서울특별시 금천구 디지털로9길 32 갑을그레이트밸리 2F,"(37.4794444, 126.8875)",금천구,37.4794444,126.8875,[17]
소용궁,-,서울특별시 금천구 시흥대로 291 롯데캐슬골드파크3차상가 310동 219호,"(37.4611632, 126.8971642)",금천구,37.4611632,126.8971642,[24]
대구원조까미생막창누네서네,-,서울특별시 금천구 가산디지털1로 1,"(37.4662108, 126.8870784)",금천구,37.46621079999999,126.8870784,[]
아웃백스테이크하우스,-,서울특별시 금천구 디지털로10길 9 7F,"(37.4773564, 126.8891438)",금천구,37.4773564,126.88914380000001,[17]
탁초밥,-,서울특별시 금천구 독산로74길 16,"(37.4685527, 126.9032692)",금천구,37.468552700000004,126.9032692,[17]
하코야라멘,-,서울특별시 금천구 가산디지털1로 205,"(37.4838255, 126.8796633)",금천구,37.4838255,126.87966329999999,[17]
타미하우스,-,서울특별시 금천구 벚꽃로 286 삼성리더스타워 B124,"(37.4803075, 126.8841943)",금천구,37.4803075,126.88419429999999,[17]
도네누,-,서울특별시 금천구 가산로 137,"(37.4774277, 126.8912728)",금천구,37.4774277,126.89127279999998,[17]
강강술래,-,서울특별시 금천구 시흥대로 191,"(37.450716, 126.9014705)",금천구,37.450716,126.9014705,[24]
